
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    
414  link-vMPLS-ASA-VPN-VipInet       active    
917  GISGMP-inside                    active    
1002 fddi-default                     act/unsup 
1003 token-ring-default               act/unsup 
1004 fddinet-default                  act/unsup 
1005 trnet-default                    act/unsup 
2501 link-ASA-VTB-Core                active    
2505 lnk-VTB-Core-ASA-ctx-VTB-GROUP   active    
2506 lnk-vtb-reuters-ASA-ctx-VTB-GROU active    
2507 lnk-vtb-gtr-ASA-ctx-VTB-GROUP    active    
2508 lnk-group-vtb-ASA-ctx-VTB-GROUP  active    
2509 lnk-vtb-mm-ASA-ctx-VTB-GROUP     active    
2601 link-ASA-bus                     active    
2607 DEMO                             active    
3213 nInet-BE                         active    
3234 DBO_PROM_link_ASA                active    
3235 DBO_TEST                         active    
3345 lnk-VTB-GROUP-ASA-ctx-nInet-SRV  active    
3346 lnk-VTB-Core-ASA-ctx-nInet-SRV   active    
3348 lnk-nInet-SRV-ASA-ctx-nInet-SRV  active    
3349 lnk-VTB-PROXY-ASA-ctx-nInet      active    
3350 lnk-VTB-Core-ASA-ctx-Thin-Client active    
3351 lnk-Thin-Client-ASA-ctx-Thin-Cli active    
3352 lnk-VTB-Core-ASA-ctx-VTB-SEC     active    
3353 lnk-VTB-SEC-ASA-ctx-VTB-SEC      active    
3354 lnk-VTB-Core-ASA-ctx-VTB-DEV     active    
3355 lnk-VTB-DEV-ASA-ctx-VTB-DEV      active    
3356 lnk-VTB-Core-ASA-ctx-VTB-MON     active    
3357 lnk-VTB-MON-ASA-ctx-VTB-MON      active    
3358 lnk-VTB-GW-ASA-ctx-RZD-TR        active    
3359 lnk-VTB-GW-RW-ASA-ctx-RZD-TR     active    
3372 VTB-FTR-vDcASA                   active    
3373 VTB-FIN-vDcASA                   active    
3374 VTB-Core-VTB-FIN                 active    
3426 lnk-VTB-Core-ASA-ctx-BM-ASA      active    
3427 lnk-BANKMOSCOW-ASA-ctx-BM-ASA    active    
3435 lnk-VTB-KBR-ctx-FIN              active    
3648 lnk-VTB-RF-24--ASA-ctx-VTB-RF-24 active    
3649 lnk-rf-tr-24--ASA-ctx-VTB-RF-24  active    
3650 lnk-VTB-RF-CAP--ASA-ctx-VTB-RF-C active    
3651 lnk-rf-tr-cap--ASA--ctx-VTB-RF-C active    
3652 lnk-VTB-RF-BM--ASA-ctx-VTB-RF-BM active    
3653 lnk-rf-tr-bm--ASA-ctx-VTB-RF-BM  active    
3654 lnk-rf-rf-ASA-ctx-VTB-RF         active    
3655 lnk-vtbcore--ASA-ctx-VTB-RF      active    

VLAN Type  SAID       MTU   Parent RingNo BridgeNo Stp  BrdgMode Trans1 Trans2
---- ----- ---------- ----- ------ ------ -------- ---- -------- ------ ------
1    enet  100001     1500  -      -      -        -    -        0      0   
414  enet  100414     1500  -      -      -        -    -        0      0   
917  enet  100917     1500  -      -      -        -    -        0      0   
1002 fddi  101002     1500  -      -      -        -    -        0      0   
1003 tr    101003     1500  -      -      -        -    -        0      0   
1004 fdnet 101004     1500  -      -      -        ieee -        0      0   
1005 trnet 101005     1500  -      -      -        ibm  -        0      0   
2501 enet  102501     1500  -      -      -        -    -        0      0   
2505 enet  102505     1500  -      -      -        -    -        0      0   
2506 enet  102506     1500  -      -      -        -    -        0      0   
2507 enet  102507     1500  -      -      -        -    -        0      0   
2508 enet  102508     1500  -      -      -        -    -        0      0   
2509 enet  102509     1500  -      -      -        -    -        0      0   
2601 enet  102601     1500  -      -      -        -    -        0      0   
2607 enet  102607     1500  -      -      -        -    -        0      0   
3213 enet  103213     1500  -      -      -        -    -        0      0   
3234 enet  103234     1500  -      -      -        -    -        0      0   
3235 enet  103235     1500  -      -      -        -    -        0      0   
3345 enet  103345     1500  -      -      -        -    -        0      0   
3346 enet  103346     1500  -      -      -        -    -        0      0   
3348 enet  103348     1500  -      -      -        -    -        0      0   
3349 enet  103349     1500  -      -      -        -    -        0      0   
3350 enet  103350     1500  -      -      -        -    -        0      0   
3351 enet  103351     1500  -      -      -        -    -        0      0   
3352 enet  103352     1500  -      -      -        -    -        0      0   
3353 enet  103353     1500  -      -      -        -    -        0      0   
3354 enet  103354     1500  -      -      -        -    -        0      0   
3355 enet  103355     1500  -      -      -        -    -        0      0   
3356 enet  103356     1500  -      -      -        -    -        0      0   
3357 enet  103357     1500  -      -      -        -    -        0      0   
3358 enet  103358     1500  -      -      -        -    -        0      0   
3359 enet  103359     1500  -      -      -        -    -        0      0   
3372 enet  103372     1500  -      -      -        -    -        0      0   
3373 enet  103373     1500  -      -      -        -    -        0      0   
3374 enet  103374     1500  -      -      -        -    -        0      0   
3426 enet  103426     1500  -      -      -        -    -        0      0   
3427 enet  103427     1500  -      -      -        -    -        0      0   
3435 enet  103435     1500  -      -      -        -    -        0      0   
3648 enet  103648     1500  -      -      -        -    -        0      0   
3649 enet  103649     1500  -      -      -        -    -        0      0   
3650 enet  103650     1500  -      -      -        -    -        0      0   
3651 enet  103651     1500  -      -      -        -    -        0      0   
3652 enet  103652     1500  -      -      -        -    -        0      0   
3653 enet  103653     1500  -      -      -        -    -        0      0   
3654 enet  103654     1500  -      -      -        -    -        0      0   
3655 enet  103655     1500  -      -      -        -    -        0      0   

Remote SPAN VLANs
------------------------------------------------------------------------------


Primary Secondary Type              Ports
------- --------- ----------------- ------------------------------------------

