Legend: * - primary entry
        age - seconds since last seen
        n/a - not available

  vlan   mac address     type    learn     age              ports
------+----------------+--------+-----+----------+--------------------------
   602  0021.5a9b.0b2a   dynamic  Yes       1320   Po5
   601  0021.5a9b.27e2   dynamic  Yes       1680   Po5
   602  0021.5a9b.2830   dynamic  Yes       1320   Po5
   609  0050.566b.2833   dynamic  Yes        480   Po5
   608  d0bf.9cf6.7cd2   dynamic  Yes       1740   Po5
   606  0050.5683.e26a   dynamic  Yes       1200   Po5
   602  0021.5a9b.0d90   dynamic  Yes       1320   Po5
   679  002a.6a8b.19c1   dynamic  Yes          0   Po5
   586  0050.56b7.04d2   dynamic  Yes        780   Po5
   606  0050.5683.9acd   dynamic  Yes        120   Po5
   645  0050.56b7.ea1a   dynamic  Yes        900   Po5
   602  0021.5a9b.1a84   dynamic  Yes       1320   Po5
   602  0021.5a9b.013c   dynamic  Yes       1320   Po5
   628  0050.5683.93e0   dynamic  Yes       1680   Po5
   680  0050.568b.e309   dynamic  Yes       1320   Po5
   606  9cdc.71cd.1040   dynamic  Yes       1200   Po5
   606  0050.5683.4ba1   dynamic  Yes        480   Po5
   629  0050.5665.9b68   dynamic  Yes        420   Po5
   608  c8cb.b8a5.1d48   dynamic  Yes       1740   Po5
   601  b4b5.2f5b.f2d0   dynamic  Yes        180   Po5
   629  0050.566e.b854   dynamic  Yes        240   Po5
   609  0050.5665.a60c   dynamic  Yes        840   Po5
   606  0050.5683.7531   dynamic  Yes       1500   Po5
   601  0021.5a9b.2260   dynamic  Yes        240   Po5
   609  0050.5665.bb85   dynamic  Yes        960   Po5
   601  1cc1.de01.5fe8   dynamic  Yes       1440   Po5
   608  2c59.e5dc.0b42   dynamic  Yes       1740   Po5
   609  0050.5661.5d91   dynamic  Yes       1260   Po5
   602  0021.5a9b.0ea8   dynamic  Yes       1320   Po5
   601  28c7.ce58.b1c2   dynamic  Yes       1320   Po5
   600  0050.5683.4898   dynamic  Yes        840   Po5
   601  0021.5a9b.07c0   dynamic  Yes        540   Po5
   628  0021.5a9b.20c6   dynamic  Yes       1680   Po5
   603  0010.e0f2.2697   dynamic  Yes        180   Po5
   663  002a.6a8b.19c2   dynamic  Yes          0   Po5
   604  1458.d057.24b4   dynamic  Yes       1200   Po5
   657  002a.6a8b.19c2   dynamic  Yes          0   Po5
   656  002a.6a8b.19c2   dynamic  Yes          0   Po5
   658  002a.6a8b.19c2   dynamic  Yes          0   Po5
   669  002a.6a8b.19c2   dynamic  Yes          0   Po5
   602  0021.5a9b.1a48   dynamic  Yes       1320   Po5
   668  002a.6a8b.19c2   dynamic  Yes          0   Po5
   671  002a.6a8b.19c2   dynamic  Yes          0   Po5
   670  002a.6a8b.19c2   dynamic  Yes          0   Po5
   601  0021.5a9b.0ab4   dynamic  Yes       1020   Po5
   665  002a.6a8b.19c2   dynamic  Yes          0   Po5
   608  8894.71de.8e01   dynamic  Yes         60   Po5
   664  002a.6a8b.19c2   dynamic  Yes          0   Po5
   667  002a.6a8b.19c2   dynamic  Yes          0   Po5
   644  002a.6a8b.19c2   dynamic  Yes          0   Po5
   645  002a.6a8b.19c2   dynamic  Yes          0   Po5
   646  002a.6a8b.19c2   dynamic  Yes          0   Po5
   601  0026.5584.2760   dynamic  Yes       1440   Po5
   628  0021.5a9b.0e22   dynamic  Yes        540   Po5
   647  002a.6a8b.19c2   dynamic  Yes          0   Po5
   640  002a.6a8b.19c2   dynamic  Yes          0   Po5
   642  002a.6a8b.19c2   dynamic  Yes          0   Po5
   643  002a.6a8b.19c2   dynamic  Yes          0   Po5
   652  002a.6a8b.19c2   dynamic  Yes          0   Po5
   609  0050.5668.7b82   dynamic  Yes        720   Po5
   653  002a.6a8b.19c2   dynamic  Yes          0   Po5
   654  002a.6a8b.19c2   dynamic  Yes          0   Po5
   655  002a.6a8b.19c2   dynamic  Yes          0   Po5
   648  002a.6a8b.19c2   dynamic  Yes          0   Po5
   649  002a.6a8b.19c2   dynamic  Yes          0   Po5
   651  002a.6a8b.19c2   dynamic  Yes          0   Po5
   694  002a.6a8b.19c2   dynamic  Yes          0   Po5
   693  002a.6a8b.19c2   dynamic  Yes          0   Po5
   692  002a.6a8b.19c2   dynamic  Yes          0   Po5
   690  002a.6a8b.19c2   dynamic  Yes          0   Po5
   500  0023.ab36.e000   dynamic  Yes          0   Po5
   684  506b.8d0f.902e   dynamic  Yes        240   Po5
   645  0050.56b7.321c   dynamic  Yes        900   Po5
   672  002a.6a8b.19c2   dynamic  Yes          0   Po5
   673  002a.6a8b.19c2   dynamic  Yes          0   Po5
   609  0050.5665.6127   dynamic  Yes       1260   Po5
   645  0050.56b7.edb3   dynamic  Yes       1320   Po5
   606  001b.782a.5bf2   dynamic  Yes       1440   Po5
   601  f452.1434.7741   dynamic  Yes        600   Po5
   608  c8cb.b8a5.1d4e   dynamic  Yes       1740   Po5
   654  a0d3.c106.aaa0   dynamic  Yes       1380   Po5
   608  7446.a073.021e   dynamic  Yes       1740   Po5
   602  0021.5a9b.0d94   dynamic  Yes       1320   Po5
   602  0021.5a9b.2834   dynamic  Yes       1320   Po5
   500  0023.ab36.cc00   dynamic  Yes          0   Po5
   609  0050.566e.2dad   dynamic  Yes        960   Po5
   608  6451.061d.8824   dynamic  Yes       1740   Po5
   601  0050.5683.69a9   dynamic  Yes        360   Po5
   645  0050.56b7.c693   dynamic  Yes        960   Po5
   601  90e2.bad3.84d8   dynamic  Yes        480   Po5
   645  0050.56b7.795a   dynamic  Yes       1200   Po5
   609  0050.5664.4004   dynamic  Yes       1440   Po5
   602  0021.5a9b.065a   dynamic  Yes       1320   Po5
   609  0050.56bf.590e   dynamic  Yes        900   Po5
   645  0021.5a9b.0504   dynamic  Yes       1560   Po5
   602  0021.5a9b.1a80   dynamic  Yes       1320   Po5
   608  c8cb.b8a5.2d18   dynamic  Yes       1740   Po5
   609  0050.5665.a03a   dynamic  Yes       1260   Po5
   628  0050.5683.4ba6   dynamic  Yes        840   Po5
   601  a4bf.016a.8b6e   dynamic  Yes       1260   Po5
   629  0050.5664.fbd3   dynamic  Yes       1560   Po5
   608  0021.28ff.7344   dynamic  Yes        720   Po5
   602  0021.5a9b.09ce   dynamic  Yes       1320   Po5
   680  0050.568b.2951   dynamic  Yes        720   Po5
   602  0021.5a9b.0af4   dynamic  Yes       1320   Po5
   608  0060.1683.c321   dynamic  Yes       1080   Po5
   609  0050.5665.2f2d   dynamic  Yes        660   Po5
   665  e839.35a9.31d8   dynamic  Yes         60   Po5
   603  0021.28ff.7345   dynamic  Yes        720   Po5
   608  8894.71a8.988a   dynamic  Yes       1740   Po5
   606  0021.5a9b.1976   dynamic  Yes       1380   Po5
