
Number of Critical alarms:  0
Number of Major alarms:     0
Number of Minor alarms:     0

Slot    Sensor       Current State       Reading
----    ------       -------------       -------
 P0    PEM Iout         Normal           5 A
 P0    PEM Vout         Normal           12 V DC
 P0    PEM Vin          Normal           228 V AC
 P0    Temp: PEM In     Normal           35 Celsius
 P0    Temp: PEM Out    Normal           29 Celsius
 P0    Temp: PEM Int    Normal           32 Celsius
 P1    PEM Iout         Normal           5 A
 P1    PEM Vout         Normal           12 V DC
 P1    PEM Vin          Normal           230 V AC
 P1    Temp: PEM In     Normal           32 Celsius
 P1    Temp: PEM Out    Normal           29 Celsius
 P1    Temp: PEM Int    Normal           33 Celsius
 R0    VVM 0: VX1       Normal           1512 mV
 R0    VVM 0: VX2       Normal           753 mV
 R0    VVM 0: VX3       Normal           1002 mV
 R0    VVM 0: VX4       Normal           1058 mV
 R0    VVM 0: VX5       Normal           900 mV
 R0    VVM 0: VP1       Normal           5088 mV
 R0    VVM 0: VP3       Normal           1506 mV
 R0    VVM 0: VP4       Normal           1796 mV
 R0    VVM 0: VH        Normal           11930 mV
 R0    VVM 1: VX1       Normal           1198 mV
 R0    VVM 1: VX2       Normal           844 mV
 R0    VVM 1: VX3       Normal           857 mV
 R0    VVM 1: VX4       Normal           997 mV
 R0    VVM 1: VX5       Normal           875 mV
 R0    VVM 1: VP2       Normal           3320 mV
 R0    VVM 1: VP3       Normal           1783 mV
 R0    VVM 1: VP4       Normal           995 mV
 R0    VVM 1: VH        Normal           11930 mV
 R0    VVM 2: VX1       Normal           1114 mV
 R0    VVM 2: VX2       Normal           1102 mV
 R0    VVM 2: VX3       Normal           1208 mV
 R0    VVM 2: VX4       Normal           2506 mV
 R0    VVM 2: VX5       Normal           961 mV
 R0    VVM 2: VP2       Normal           1532 mV
 R0    VVM 2: VP3       Normal           1506 mV
 R0    VVM 2: VP4       Normal           2474 mV
 R0    VVM 2: VH        Normal           11930 mV
 R0    VVM 2: AUX1      Normal           746 mV
 R0    VVM 2: AUX2      Normal           750 mV
 R0    Temp: sTCAM      Normal           27 Celsius
 R0    Temp: Inlet      Normal           22 Celsius
 R0    Temp: Outlet     Normal           33 Celsius
 R0    Temp: QFP Die    Normal           35 Celsius
 R0    Temp: Center     Normal           34 Celsius
 R0    Temp: Oct Die    Normal           40 Celsius
 R0    Temp: CPU Inlt   Normal           27 Celsius
 R0    Temp: CPU VRM    Normal           27 Celsius
 R0    Temp: CPU Die    Normal           35 Celsius
 R0    Temp: FC FANS    Fan Speed 60%    22 Celsius
 P0    Temp: FC FAN0    Fan Speed 60%    22 Celsius
 P1    Temp: FC FAN1    Fan Speed 60%    22 Celsius


