
Number of Critical alarms:  0
Number of Major alarms:     0
Number of Minor alarms:     0

Slot    Sensor       Current State       Reading
----    ------       -------------       -------
 P0    PEM Iout         Normal           5 A
 P0    PEM Vout         Normal           12 V DC
 P0    PEM Vin          Normal           231 V AC
 P0    Temp: PEM In     Normal           33 Celsius
 P0    Temp: PEM Out    Normal           35 Celsius
 P0    Temp: PEM Int    Normal           37 Celsius
 P1    PEM Iout         Normal           5 A
 P1    PEM Vout         Normal           12 V DC
 P1    PEM Vin          Normal           234 V AC
 P1    Temp: PEM In     Normal           35 Celsius
 P1    Temp: PEM Out    Normal           29 Celsius
 P1    Temp: PEM Int    Normal           37 Celsius
 R0    VVM 0: VX1       Normal           1502 mV
 R0    VVM 0: VX2       Normal           753 mV
 R0    VVM 0: VX3       Normal           1004 mV
 R0    VVM 0: VX4       Normal           1055 mV
 R0    VVM 0: VX5       Normal           898 mV
 R0    VVM 0: VP1       Normal           5075 mV
 R0    VVM 0: VP3       Normal           1506 mV
 R0    VVM 0: VP4       Normal           1792 mV
 R0    VVM 0: VH        Normal           11951 mV
 R0    VVM 1: VX1       Normal           1200 mV
 R0    VVM 1: VX2       Normal           831 mV
 R0    VVM 1: VX3       Normal           858 mV
 R0    VVM 1: VX4       Normal           996 mV
 R0    VVM 1: VX5       Normal           874 mV
 R0    VVM 1: VP2       Normal           3331 mV
 R0    VVM 1: VP3       Normal           1802 mV
 R0    VVM 1: VP4       Normal           997 mV
 R0    VVM 1: VH        Normal           11935 mV
 R0    VVM 2: VX1       Normal           1115 mV
 R0    VVM 2: VX2       Normal           1103 mV
 R0    VVM 2: VX3       Normal           1214 mV
 R0    VVM 2: VX4       Normal           2494 mV
 R0    VVM 2: VX5       Normal           960 mV
 R0    VVM 2: VP2       Normal           1534 mV
 R0    VVM 2: VP3       Normal           1505 mV
 R0    VVM 2: VP4       Normal           2492 mV
 R0    VVM 2: VH        Normal           11951 mV
 R0    VVM 2: AUX1      Normal           744 mV
 R0    VVM 2: AUX2      Normal           750 mV
 R0    Temp: sTCAM      Normal           31 Celsius
 R0    Temp: Inlet      Normal           26 Celsius
 R0    Temp: Outlet     Normal           39 Celsius
 R0    Temp: QFP Die    Normal           41 Celsius
 R0    Temp: Center     Normal           40 Celsius
 R0    Temp: Oct Die    Normal           45 Celsius
 R0    Temp: CPU Inlt   Normal           30 Celsius
 R0    Temp: CPU VRM    Normal           28 Celsius
 R0    Temp: CPU Die    Normal           39 Celsius
 R0    Temp: FC FANS    Fan Speed 60%    26 Celsius
 P0    Temp: FC FAN0    Fan Speed 60%    26 Celsius
 P1    Temp: FC FAN1    Fan Speed 60%    26 Celsius


